Date,Sleep (hrs),Course Study (hrs),Curriculum Study (hrs),Leisure (hrs),Screen Time (hrs)
2025-11-01,9.75,3.00,0.00,6.00,9.00
2025-11-02,9.00,1.00,0.00,9.50,10.50
2025-11-03,9.00,2.00,0.00,7.10,9.10
2025-11-04,8.50,1.50,0.00,10.50,12.00
2025-11-05,8.56,1.50,0.00,10.63,12.13
2025-11-06,7.50,0.75,1.00,9.40,11.15
2025-11-07,8.50,0.50,1.50,9.91,11.91
2025-11-08,8.50,1.00,2.50,8.26,11.76
2025-11-09,9.50,0.00,3.00,7.75,10.75
2025-11-10,6.50,0.00,6.50,2.63,9.13
2025-11-11,6.50,0.00,7.00,1.00,8.00
2025-11-12,6.50,0.00,8.50,2.58,11.08
2025-11-13,4.92,0.00,10.00,3.66,13.66
2025-11-14,4.50,0.00,9.50,2.83,12.33
2025-11-15,3.00,0.00,6.00,4.53,10.53
2025-11-16,8.00,0.00,8.00,5.15,13.15
2025-11-17,4.00,0.00,8.25,3.31,11.56
2025-11-18,5.00,0.00,11.00,4.00,15.00
2025-11-19,4.00,0.50,3.03,8.47,12.00
2025-11-20,8.50,0.50,0.00,11.83,12.33
2025-11-21,8.50,0.00,0.00,10.30,10.30
2025-11-22,7.00,2.00,0.00,8.28,10.28
2025-11-23,7.50,2.00,2.50,6.50,11.00
2025-11-24,6.50,2.46,1.00,7.54,11.00
2025-11-25,5.50,1.75,0.75,9.50,12.00
2025-11-26,6.00,0.50,2.50,9.36,12.36
2025-11-27,5.50,0.00,4.00,7.86,11.86
2025-11-28,5.50,0.00,8.00,4.83,12.83
2025-11-29,4.00,1.00,3.33,6.03,10.36
2025-11-30,8.50,0.00,0.00,10.55,10.55